SampleID	variable	value
2.21.23.RC3	2.21.23.RC3	0
3.8.23.RC1	2.21.23.RC3	0.666666666666667
3.8.23.RC2	2.21.23.RC3	0.666666666666667
3.8.23.RC3	2.21.23.RC3	0.2
4.10.23.RC1	2.21.23.RC3	0.8
4.10.23.RC2	2.21.23.RC3	0.8
4.10.23.RC3	2.21.23.RC3	0.625
4.20.23.RC1	2.21.23.RC3	0.6
4.20.23.RC2	2.21.23.RC3	0.5
4.20.23.RC3	2.21.23.RC3	0.8
5.12.23.RC1	2.21.23.RC3	0.4
5.12.23.RC2	2.21.23.RC3	0.6
5.12.23.RC3	2.21.23.RC3	0.571428571428571
6.6.23.RC1	2.21.23.RC3	0.666666666666667
6.12.23.RC3	2.21.23.RC3	0.571428571428571
6.22.23.RC1	2.21.23.RC3	0.666666666666667
6.22.23.RC2	2.21.23.RC3	0.571428571428571
6.22.23.RC3	2.21.23.RC3	0.625
7.10.23.RC1	2.21.23.RC3	0.818181818181818
7.10.23.RC2	2.21.23.RC3	0.5
7.10.23.RC3	2.21.23.RC3	0.6
9.8.23.RC1	2.21.23.RC3	0.8
9.8.23.RC2	2.21.23.RC3	0.5
9.8.23.RC3	2.21.23.RC3	0.5
9.27.23.RC1	2.21.23.RC3	0.5
9.27.23.RC2	2.21.23.RC3	0.714285714285714
9.27.23.RC3	2.21.23.RC3	0.333333333333333
10.10.23.RC1	2.21.23.RC3	0.75
10.10.23.RC2	2.21.23.RC3	0.6
10.10.23.RC3	2.21.23.RC3	0.5
10.25.23.RC1	2.21.23.RC3	0.4
10.25.23.RC3	2.21.23.RC3	0.75
12.7.23.RC2	2.21.23.RC3	0.666666666666667
12.11.23.RC2	2.21.23.RC3	0.8
12.11.23.RC3	2.21.23.RC3	0.714285714285714
1.5.24.RC1	2.21.23.RC3	0.75
1.5.24.RC2	2.21.23.RC3	0.75
1.5.24.RC3	2.21.23.RC3	0.25
1.10.24.RC1	2.21.23.RC3	0.6
1.10.24.RC2	2.21.23.RC3	0.833333333333333
1.10.24.RC3	2.21.23.RC3	0.571428571428571
2.13.24.RC1	2.21.23.RC3	0.666666666666667
2.13.24.RC2	2.21.23.RC3	0.6
2.13.24.RC3	2.21.23.RC3	0.7
2.21.24.RC1	2.21.23.RC3	0.8
2.21.24.RC2	2.21.23.RC3	0.8
2.21.24.RC3	2.21.23.RC3	0.4
3.7.24.RC1	2.21.23.RC3	0.8
3.7.24.RC2	2.21.23.RC3	0.857142857142857
3.7.24.RC3	2.21.23.RC3	0.727272727272727
3.26.24.RC1	2.21.23.RC3	0.8
3.26.24.RC2	2.21.23.RC3	0.75
3.26.24.RC3	2.21.23.RC3	0.5
4.15.24.RC1	2.21.23.RC3	0.666666666666667
4.15.24.RC2	2.21.23.RC3	0.666666666666667
4.15.24.RC3	2.21.23.RC3	0.5
4.22.24.RC1	2.21.23.RC3	0.5
4.22.24.RC2	2.21.23.RC3	0.666666666666667
4.22.24.RC3	2.21.23.RC3	0.7
5.10.24.RC1	2.21.23.RC3	0.5
5.10.24.RC2	2.21.23.RC3	0.571428571428571
5.10.24.RC3	2.21.23.RC3	0.625
5.23.24.RC1	2.21.23.RC3	0.571428571428571
5.23.24.RC2	2.21.23.RC3	0.5
5.23.24.RC3	2.21.23.RC3	0.6
6.10.24.RC1	2.21.23.RC3	0.5
6.10.24 RC2	2.21.23.RC3	0.666666666666667
6.10.24 RC3	2.21.23.RC3	0.4
6.21.24 RC1	2.21.23.RC3	0.6
6.21.24 RC2	2.21.23.RC3	0.666666666666667
6.21.24 RC3	2.21.23.RC3	0.5
7.8.24 RC1	2.21.23.RC3	0.666666666666667
7.8.24 RC2	2.21.23.RC3	0.666666666666667
7.8.24 RC3	2.21.23.RC3	0.666666666666667
7.15.24 RC1	2.21.23.RC3	0.666666666666667
7.15.24 RC2	2.21.23.RC3	0.833333333333333
7.15.24 RC3	2.21.23.RC3	0.5
8.14.24 RC1	2.21.23.RC3	0.571428571428571
8.14.24 RC2	2.21.23.RC3	0.571428571428571
8.14.24 RC3	2.21.23.RC3	0.666666666666667
8.28.24 RC1	2.21.23.RC3	0.625
8.28.24 RC2	2.21.23.RC3	0.666666666666667
8.28.24 RC3	2.21.23.RC3	0.666666666666667
9.11.24.RC1	2.21.23.RC3	0.571428571428571
9.11.24.RC2	2.21.23.RC3	0.714285714285714
9.11.24.RC3	2.21.23.RC3	0.75
10.7.24.RC1	2.21.23.RC3	0.571428571428571
10.7.24.RC2	2.21.23.RC3	0.571428571428571
10.7.24.RC3	2.21.23.RC3	0.625
10.30.24.RC1	2.21.23.RC3	0.4
10.30.24.RC2	2.21.23.RC3	0.5
10.30.24.RC3	2.21.23.RC3	0.833333333333333
11.7.24.RC1	2.21.23.RC3	0.857142857142857
11.7.24.RC2	2.21.23.RC3	0.875
11.7.24.RC3	2.21.23.RC3	0.875
11.11.24.RC2	2.21.23.RC3	0.8
11.11.24.RC3	2.21.23.RC3	0.714285714285714
2.21.23.RC3	3.8.23.RC1	0.666666666666667
3.8.23.RC1	3.8.23.RC1	0
3.8.23.RC2	3.8.23.RC1	0.4
3.8.23.RC3	3.8.23.RC1	0.5
4.10.23.RC1	3.8.23.RC1	0.8
4.10.23.RC2	3.8.23.RC1	0.8
4.10.23.RC3	3.8.23.RC1	0.625
4.20.23.RC1	3.8.23.RC1	0.6
4.20.23.RC2	3.8.23.RC1	0.5
4.20.23.RC3	3.8.23.RC1	0.666666666666667
5.12.23.RC1	3.8.23.RC1	0.666666666666667
5.12.23.RC2	3.8.23.RC1	0.6
5.12.23.RC3	3.8.23.RC1	0.571428571428571
6.6.23.RC1	3.8.23.RC1	0.666666666666667
6.12.23.RC3	3.8.23.RC1	0.571428571428571
6.22.23.RC1	3.8.23.RC1	0.5
6.22.23.RC2	3.8.23.RC1	0.571428571428571
6.22.23.RC3	3.8.23.RC1	0.428571428571429
7.10.23.RC1	3.8.23.RC1	0.555555555555556
7.10.23.RC2	3.8.23.RC1	0.5
7.10.23.RC3	3.8.23.RC1	0.6
9.8.23.RC1	3.8.23.RC1	0.5
9.8.23.RC2	3.8.23.RC1	0.5
9.8.23.RC3	3.8.23.RC1	0.5
9.27.23.RC1	3.8.23.RC1	0.2
9.27.23.RC2	3.8.23.RC1	0.5
